X,Y,ID,UMKM,KEC.,USAHA,TK_TETAP,TK_LEPAS,IJIN,PEMASARAN,PEMASARA_1,JUMLAH PEM,OMZET,LONG,LAT
308841.289711413,9159312.43960957,5925,DIWEN,Kroya,Perajin Tempe,2,0,,41184,0,41184,41184,109.267230299999994,-7.602057195000000
301050.60976785,9157538.5380556,5926,DUL PARMAN,Kroya,Perajin Tempe,3,0,,41184,0,41184,41184,109.196567599999995,-7.617807771000000
307634.008761623,9155856.83092637,5927,HADI SUWIRYO,Kroya,Perajin Tempe,2,0,,41184,0,41184,41184,109.256163900000004,-7.633257261000000
306202.756284004,9156787.45942722,5931,KARTO NAKUN,Kroya,Perajin Tempe,2,0,,41184,0,41184,41184,109.243227800000000,-7.624790518000000
307731.230479219,9159050.12837138,5934,KAWIARSO,Kroya,Perajin Tempe,3,0,,41184,0,41184,41184,109.257161699999997,-7.604388601000000
306129.668602704,9154671.29660522,5935,KINAH,Kroya,Perajin Tempe,3,0,,41184,0,41184,41184,109.242487299999993,-7.643920961000000
303449.169906795,9157592.10080521,5941,PARTO,Kroya,Perajin Tempe,2,0,,41184,0,41184,41184,109.218304799999999,-7.617413465000000
302209.596344296,9155935.57631856,5946,SANDI KARTA,Kroya,Perajin Tempe,4,0,,41184,0,41184,41184,109.207009700000000,-7.632344170000000
307388.417827446,9159761.00932642,5949,SASTRAWIKARYA,Kroya,Perajin Tempe,2,0,,41184,0,41184,41184,109.254081200000002,-7.597948681000000
306173.755080274,9158147.18352018,5950,SAWINAH,Kroya,Perajin Tempe,5,0,,41184,0,41184,41184,109.243015099999994,-7.612495592000000
301916.215083629,9157990.47492745,5951,SOLEHUDIN,Kroya,Perajin Tempe,2,0,,41184,0,41184,41184,109.204428500000006,-7.613754293000000
308715.562823016,9156838.97427426,5956,SUTRISNO,Kroya,Perajin Tempe,2,0,,41184,0,41184,41184,109.266001099999997,-7.624416605000000
307253.994131432,9158014.16626816,5957,YULI SUKESIH,Kroya,Perajin Tempe,3,0,,41184,0,41184,41184,109.252799199999998,-7.613737844000000
301417.108618093,9155971.69848417,5959,FATIMAH,Kroya,Batik,2,0,,39600,0,39600,39600,109.199829500000007,-7.631987732000000
307890.585837692,9158999.77157873,5961,KASNURI,Kroya,Perajin Tempe,2,0,,37728,0,37728,37728,109.258603899999997,-7.604849702000000
305982.740626923,9155969.93339997,5966,SUGINAH,Kroya,Bahan Pokok,2,0,SIUP/TDP,37160,0,37160,37160,109.241203799999994,-7.632174017000000
304008.158355897,9157308.82666867,5967,ALIF STICKER,Kroya,Variasi,3,0,SIUP TDP,36000,0,36000,36000,109.223359700000003,-7.619995453000000
302599.729878684,9155307.62933686,5971,MA'RUF,Kroya,Perajin Tempe,3,0,,35712,0,35712,35712,109.210521499999999,-7.638036259000000
